Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Emiliano Martínez,ar ARG,GK,31,37,37,"3,194",35.5,0,0,0,0,0,0,5,1
Morgan Rogers,eng ENG,"FW,MF",22,37,37,"3,114",34.6,8,10,18,8,0,0,10,0
Youri Tielemans,be BEL,MF,27,36,35,"3,026",33.6,3,7,10,3,0,1,4,0
Ezri Konsa,eng ENG,DF,26,34,33,"2,936",32.6,2,0,2,2,0,0,1,0
Ollie Watkins,eng ENG,FW,28,38,31,"2,598",28.9,16,8,24,14,2,2,2,0
Lucas Digne,fr FRA,DF,31,32,28,"2,351",26.1,0,4,4,0,0,0,4,0
John McGinn,sct SCO,"MF,FW",29,34,27,"2,223",24.7,1,4,5,1,0,0,7,0
Matty Cash,pl POL,DF,26,27,24,"2,070",23.0,1,1,2,1,0,0,7,0
Pau Torres,es ESP,DF,27,24,23,"2,020",22.4,0,0,0,0,0,0,2,0
Boubacar Kamara,fr FRA,MF,24,26,20,"1,726",19.2,1,0,1,1,0,0,2,0
Amadou Onana,be BEL,MF,22,26,20,"1,617",18.0,3,0,3,3,0,0,4,0
Jacob Ramsey,eng ENG,"FW,MF",23,29,19,"1,623",18.0,1,3,4,1,0,0,4,1
Leon Bailey,jm JAM,"FW,MF",26,24,14,"1,139",12.7,1,2,3,1,0,0,3,0
Tyrone Mings,eng ENG,DF,31,14,12,"1,120",12.4,0,0,0,0,0,0,1,0
Ian Maatsen,nl NED,DF,22,29,10,"1,139",12.7,1,2,3,1,0,0,2,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Marco Asensio,es ESP,MF,28,13,9,743,8.3,3,1,4,3,0,2,2,0
Diego Carlos,br BRA,DF,31,10,8,830,9.2,0,0,0,0,0,0,1,0
Axel Disasi,fr FRA,DF,26,7,5,490,5.4,0,0,0,0,0,0,2,0
Lamare Bogarde,nl NED,"DF,MF",20,8,5,476,5.3,0,0,0,0,0,0,2,0
Andrés García,es ESP,"DF,MF",21,7,5,318,3.5,0,0,0,0,0,0,0,0
Jáder Durán,co COL,FW,20,20,4,638,7.1,7,0,7,7,0,0,3,1
Marcus Rashford,eng ENG,FW,26,10,4,444,4.9,2,2,4,1,1,1,0,0
Ross Barkley,eng ENG,MF,30,20,3,581,6.5,3,1,4,3,0,0,3,0
Jaden Philogene Bidace,eng ENG,"FW,MF",22,11,2,332,3.7,0,0,0,0,0,0,4,1
Donyell Malen,nl NED,FW,25,14,2,305,3.4,3,0,3,3,0,0,0,0
Robin Olsen,se SWE,GK,34,4,1,226,2.5,0,0,0,0,0,0,0,0
Kosta Nedeljković,rs SRB,DF,18,5,0,126,1.4,0,0,0,0,0,0,0,0
Emi Buendía,ar ARG,"MF,FW",27,12,0,98,1.1,0,0,0,0,0,0,1,0
Benjamin Broggio,eng ENG,FW,17,0,0,,,,,,,,,,
Joe Gauci,au AUS,GK,24,0,0,,,,,,,,,,
Jamaldeen Jimoh,eng ENG,MF,17,0,0,,,,,,,,,,
Sil Swinkels,nl NED,DF,20,0,0,,,,,,,,,,
Kadan Young,eng ENG,MF,18,0,0,,,,,,,,,,
Oliwier Zych,pl POL,GK,20,0,0,,,,,,,,,,
