Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Milos Kerkez,hu HUN,DF,20,38,38,"3,336",37.1,2,5,7,2,0,0,4,0
Antoine Semenyo,gh GHA,FW,24,37,36,"3,203",35.6,11,5,16,11,0,0,9,0
Illia Zabarnyi,ua UKR,DF,21,36,35,"3,109",34.5,0,1,1,0,0,0,4,1
Lewis Cook,eng ENG,"MF,DF",27,36,32,"2,978",33.1,1,3,4,1,0,0,8,1
Kepa Arrizabalaga,es ESP,GK,29,31,31,"2,790",31.0,0,0,0,0,0,0,3,0
Justin Kluivert,nl NED,MF,25,34,29,"2,340",26.0,12,6,18,6,6,6,8,0
Evanilson,br BRA,FW,24,31,28,"2,319",25.8,10,1,11,10,0,1,1,1
Ryan Christie,sct SCO,MF,29,29,27,"2,117",23.5,2,3,5,2,0,0,9,0
Dean Huijsen,es ESP,DF,19,32,26,"2,427",27.0,3,2,5,3,0,0,10,0
Dango Ouattara,bf BFA,FW,22,32,21,"2,005",22.3,7,4,11,7,0,0,3,0
Tyler Adams,us USA,MF,25,28,21,"1,965",21.8,0,3,3,0,0,0,7,0
Marcus Tavernier,eng ENG,"FW,MF",25,29,20,"1,939",21.5,3,5,8,3,0,0,6,0
Adam Smith,eng ENG,DF,33,25,19,"1,590",17.7,0,0,0,0,0,0,7,0
Marcos Senesi,ar ARG,DF,27,17,13,"1,106",12.3,0,0,0,0,0,0,5,0
David Brooks,wls WAL,"FW,MF",27,29,9,960,10.7,2,0,2,2,0,0,3,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Alex Scott,eng ENG,MF,20,20,8,755,8.4,0,0,0,0,0,0,3,0
Julian Araujo,mx MEX,DF,22,12,7,497,5.5,0,0,0,0,0,0,2,0
James Hill,eng ENG,DF,22,10,6,448,5.0,0,1,1,0,0,0,1,0
Mark Travers,ie IRL,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0
Enes Ünal,tr TUR,"FW,MF",27,17,2,345,3.8,2,1,3,2,0,0,2,0
Neto,br BRA,GK,35,2,2,180,2.0,0,0,0,0,0,0,0,0
Luis Sinisterra,co COL,"FW,MF",25,12,1,236,2.6,1,1,2,1,0,0,0,0
Philip Billing,dk DEN,MF,28,10,1,184,2.0,0,0,0,0,0,0,1,0
Max Aarons,eng ENG,DF,24,3,1,86,1.0,0,0,0,0,0,0,0,0
Daniel Jebbison,ca CAN,FW,20,16,0,119,1.3,1,0,1,1,0,0,1,0
Ben Winterburn,eng ENG,"MF,FW",19,4,0,24,0.3,0,0,0,0,0,0,0,0
Julio Soler,ar ARG,"DF,FW",19,3,0,11,0.1,0,0,0,0,0,0,0,0
Remy Rees-Dottin,eng ENG,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0
Zain Silcott-Duberry,ms MSR,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0
Daniel Adu-Adjei,eng ENG,FW,19,0,0,,,,,,,,,,
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Matai Akinmboni,us USA,DF,17,0,0,,,,,,,,,,
Jaidon Anthony,eng ENG,"FW,MF",24,0,0,,,,,,,,,,
Will Dennis,eng ENG,GK,24,0,0,,,,,,,,,,
Archie Harris,wls WAL,DF,19,0,0,,,,,,,,,,
Hamed Junior Traorè,ci CIV,"FW,MF",24,0,0,,,,,,,,,,
Callan Mckenna,sct SCO,GK,17,0,0,,,,,,,,,,
Dominic Sadi,eng ENG,MF,20,0,0,,,,,,,,,,
Maxwell Wellings,eng ENG,DF,19,0,0,,,,,,,,,,
