Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bart Verbruggen,nl NED,GK,21,36,36,"3,240",36.0,0,1,1,0,0,0,5,0
Jan Paul van Hecke,nl NED,DF,24,34,33,"2,958",32.9,1,1,2,1,0,0,8,1
Carlos Baleba,cm CMR,MF,20,34,31,"2,661",29.6,3,1,4,3,0,0,8,1
Kaoru Mitoma,jp JPN,"FW,MF",27,36,28,"2,603",28.9,10,4,14,10,0,0,1,0
Pervis Estupiñán,ec ECU,DF,26,30,26,"2,402",26.7,1,1,2,1,0,0,5,0
Danny Welbeck,eng ENG,FW,33,30,24,"2,115",23.5,10,4,14,9,1,1,5,0
Lewis Dunk,eng ENG,DF,32,25,23,"2,083",23.1,0,0,0,0,0,0,5,0
João Pedro,br BRA,"FW,MF",22,27,23,"1,948",21.6,10,6,16,5,5,5,4,1
Yasin Ayari,se SWE,MF,20,34,22,"1,965",21.8,2,1,3,2,0,0,3,0
Jack Hinshelwood,eng ENG,"MF,DF",19,26,22,"1,842",20.5,5,2,7,5,0,0,5,0
Yankuba Minteh,gm GAM,"FW,MF",20,32,20,"1,838",20.4,6,4,10,6,0,0,6,0
Joël Veltman,nl NED,DF,32,21,19,"1,697",18.9,0,0,0,0,0,0,5,0
Georginio Rutter,fr FRA,"MF,FW",22,28,19,"1,656",18.4,5,3,8,5,0,0,2,0
Simon Adingra,ci CIV,"FW,MF",22,29,12,"1,097",12.2,2,2,4,2,0,0,0,0
Matt O'Riley,dk DEN,MF,23,21,11,938,10.4,2,2,4,1,1,1,1,0
,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Adam Webster,eng ENG,DF,29,14,11,887,9.9,0,0,0,0,0,0,1,0
Mats Wieffer,nl NED,"DF,MF",24,25,10,"1,015",11.3,1,3,4,1,0,0,6,0
Igor,br BRA,DF,26,13,10,961,10.7,0,0,0,0,0,0,4,0
Tariq Lamptey,gh GHA,DF,23,15,10,860,9.6,2,2,4,2,0,0,0,0
Brajan Gruda,de GER,"MF,FW",20,21,8,687,7.6,1,4,5,1,0,0,0,0
Ferdi Kadioglu,tr TUR,"DF,MF",24,6,5,385,4.3,1,0,1,1,0,0,1,0
Diego Gómez,py PAR,MF,21,16,4,516,5.7,1,0,1,1,0,0,0,0
James Milner,eng ENG,MF,38,4,3,170,1.9,0,0,0,0,0,0,1,0
Julio Enciso,py PAR,"MF,FW",20,12,2,294,3.3,0,0,0,0,0,0,0,0
Evan Ferguson,ie IRL,FW,19,13,2,246,2.7,1,0,1,1,0,0,0,0
Jason Steele,eng ENG,GK,33,2,2,180,2.0,0,0,0,0,0,0,0,0
Solly March,eng ENG,"FW,MF",30,8,1,168,1.9,0,0,0,0,0,0,2,0
Billy Gilmour,sct SCO,MF,23,2,1,98,1.1,0,0,0,0,0,0,0,0
Eiran Cashin,ie IRL,DF,22,2,0,20,0.2,0,0,0,0,0,0,0,0
Jakub Moder,pl POL,MF,25,4,0,11,0.1,0,0,0,0,0,0,0,0
,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Jeremy Sarmiento,ec ECU,MF,22,1,0,9,0.1,0,0,0,0,0,0,0,0
Harry Howell,eng ENG,FW,15,1,0,7,0.1,0,0,0,0,0,0,0,0
Valentín Barco,ar ARG,"DF,MF",20,0,0,,,,,,,,,,
Killian Cahill,ie IRL,GK,20,0,0,,,,,,,,,,
Joe Knight,eng ENG,MF,18,0,0,,,,,,,,,,
Ruairi Mcconville,nir NIR,DF,19,0,0,,,,,,,,,,
Mark O'Mahony,ie IRL,FW,19,0,0,,,,,,,,,,
Carl Rushworth,eng ENG,GK,23,0,0,,,,,,,,,,
Imari Samuels,eng ENG,DF,21,0,0,,,,,,,,,,
Freddie Simmonds,eng ENG,DF,16,0,0,,,,,,,,,,
Jacob Slater,ie IRL,DF,19,0,0,,,,,,,,,,
Charlie Tasker,eng ENG,DF,18,0,0,,,,,,,,,,
