Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Dean Henderson,eng ENG,GK,27,38,38,"3,420",38.0,0,0,0,0,0,0,3,0
Daniel Muñoz,co COL,DF,28,37,37,"3,228",35.9,4,5,9,4,0,0,10,0
Tyrick Mitchell,eng ENG,DF,24,37,37,"3,092",34.4,0,5,5,0,0,0,2,0
Maxence Lacroix,fr FRA,DF,24,35,35,"3,116",34.6,1,1,2,1,0,0,5,0
Marc Guéhi,eng ENG,DF,24,34,34,"3,059",34.0,3,2,5,3,0,0,9,1
Jean-Philippe Mateta,fr FRA,FW,27,37,33,"2,648",29.4,14,2,16,12,2,2,2,0
Eberechi Eze,eng ENG,"MF,FW",26,34,31,"2,588",28.8,8,8,16,7,1,2,1,0
Ismaila Sarr,sn SEN,MF,26,38,30,"2,711",30.1,8,6,14,8,0,0,4,0
Jefferson Lerma,co COL,"MF,DF",29,33,26,"2,274",25.3,0,1,1,0,0,0,9,0
Will Hughes,eng ENG,MF,29,33,24,"2,108",23.4,0,3,3,0,0,0,11,0
Chris Richards,us USA,DF,24,24,22,"1,922",21.4,1,0,1,1,0,0,4,1
Adam Wharton,eng ENG,MF,20,20,16,"1,318",14.6,0,2,2,0,0,0,2,0
Daichi Kamada,jp JPN,MF,27,34,15,"1,564",17.4,0,0,0,0,0,0,4,1
Trevoh Chalobah,eng ENG,DF,25,12,12,"1,060",11.8,3,0,3,3,0,0,1,0
Eddie Nketiah,eng ENG,"FW,MF",25,29,9,"1,034",11.5,3,1,4,3,0,0,6,1
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Nathaniel Clyne,eng ENG,"DF,MF",33,13,5,483,5.4,0,0,0,0,0,0,1,0
Justin Devenny,nir NIR,MF,20,23,4,507,5.6,1,1,2,1,0,0,1,0
Cheick Doucouré,ml MLI,MF,24,13,4,452,5.0,0,0,0,0,0,0,1,0
Ben Chilwell,eng ENG,DF,27,8,1,259,2.9,1,0,1,1,0,0,1,0
Romain Esse,eng ENG,MF,19,7,1,138,1.5,1,1,2,1,0,0,0,0
Odsonne Édouard,fr FRA,"MF,FW",26,2,1,115,1.3,0,0,0,0,0,0,0,0
Joachim Andersen,dk DEN,DF,28,1,1,90,1.0,0,0,0,0,0,0,1,0
Chadi Riad,ma MAR,DF,21,1,1,90,1.0,0,0,0,0,0,0,0,0
Joel Ward,eng ENG,DF,34,2,1,71,0.8,0,0,0,0,0,0,1,0
Jeffrey Schlupp,gh GHA,"MF,DF",31,12,0,103,1.1,0,0,0,0,0,0,0,0
Matheus França,br BRA,"MF,FW",20,4,0,55,0.6,1,0,1,1,0,0,0,0
Jordan Ayew,gh GHA,"FW,MF",32,1,0,21,0.2,0,0,0,0,0,0,1,0
Caleb Kporha,eng ENG,DF,18,2,0,13,0.1,0,0,0,0,0,0,0,0
Asher Agbinone,eng ENG,MF,18,2,0,6,0.1,0,0,0,0,0,0,0,0
Naouirou Ahamada,fr FRA,MF,22,0,0,,,,,,,,,,
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Rob Holding,eng ENG,DF,28,0,0,,,,,,,,,,
Sam Johnstone,eng ENG,GK,31,0,0,,,,,,,,,,
Zachariah Marsh,eng ENG,FW,18,0,0,,,,,,,,,,
Remi Matthews,eng ENG,GK,30,0,0,,,,,,,,,,
Kaden Rodney,eng ENG,"DF,MF",19,0,0,,,,,,,,,,
Matt Turner,us USA,GK,30,0,0,,,,,,,,,,
Franco Umeh-Chibueze,ie IRL,MF,19,0,0,,,,,,,,,,
