Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bernd Leno,de GER,GK,32,38,38,"3,420",38.0,0,1,1,0,0,0,5,0
Antonee Robinson,us USA,DF,26,36,35,"3,167",35.2,0,10,10,0,0,0,8,0
Alex Iwobi,ng NGA,"FW,MF",28,38,35,"2,981",33.1,9,6,15,9,0,0,1,0
Calvin Bassey,ng NGA,DF,24,35,34,"3,074",34.2,1,0,1,1,0,0,7,0
Raúl Jiménez,mx MEX,FW,33,38,30,"2,494",27.7,12,3,15,9,3,3,4,0
Joachim Andersen,dk DEN,DF,28,29,29,"2,583",28.7,0,0,0,0,0,0,6,1
Saša Lukić,rs SRB,MF,27,30,28,"2,344",26.0,0,2,2,0,0,0,12,0
Sander Berge,no NOR,MF,26,31,26,"2,224",24.7,0,0,0,0,0,0,6,0
Emile Smith Rowe,eng ENG,MF,24,34,25,"2,043",22.7,6,3,9,6,0,0,3,0
Andreas Pereira,br BRA,MF,28,33,25,"2,013",22.4,2,4,6,2,0,1,7,0
Kenny Tete,nl NED,DF,28,22,21,"1,774",19.7,0,2,2,0,0,0,5,0
Adama Traoré,es ESP,"FW,MF",28,36,18,"1,772",19.7,2,7,9,2,0,0,3,0
Timothy Castagne,be BEL,DF,28,24,17,"1,649",18.3,0,1,1,0,0,0,1,0
Issa Diop,fr FRA,DF,27,21,15,"1,339",14.9,0,0,0,0,0,0,2,0
Harry Wilson,wls WAL,"FW,MF",27,25,12,"1,162",12.9,6,1,7,6,0,0,2,0
Rodrigo Muniz,br BRA,FW,23,31,8,964,10.7,8,1,9,8,0,0,1,0
Ryan Sessegnon,eng ENG,"FW,DF",24,16,7,580,6.4,4,2,6,4,0,0,1,0
Reiss Nelson,eng ENG,FW,24,11,5,487,5.4,1,1,2,1,0,0,1,0
Jorge Cuenca,es ESP,DF,24,8,4,351,3.9,0,0,0,0,0,0,0,0
Tom Cairney,sct SCO,MF,33,25,3,628,7.0,2,0,2,2,0,0,3,1
Willian,br BRA,"FW,MF",35,10,2,257,2.9,0,0,0,0,0,0,0,0
Joshua King,eng ENG,MF,17,8,1,130,1.4,0,0,0,0,0,0,0,0
Harrison Reed,eng ENG,MF,29,12,0,108,1.2,0,0,0,0,0,0,2,0
Martial Godo,eng ENG,"FW,DF",21,2,0,24,0.3,0,0,0,0,0,0,0,0
Carlos Vinícius,br BRA,"MF,FW",29,3,0,16,0.2,0,0,0,0,0,0,0,0
Jay Stansfield,eng ENG,MF,21,1,0,1,0.0,0,0,0,0,0,0,0,0
Samuel Amissah,eng ENG,DF,17,0,0,,,,,,,,,,
Steven Benda,de GER,GK,25,0,0,,,,,,,,,,
