Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Dara O'Shea,ie IRL,DF,25,35,35,"3,122",34.7,0,2,2,0,0,0,6,0
Leif Davis,eng ENG,DF,24,33,32,"2,743",30.5,1,2,3,1,0,0,5,1
Liam Delap,eng ENG,FW,21,37,32,"2,593",28.8,12,2,14,10,2,2,12,0
Sam Morsy,eg EGY,MF,32,33,31,"2,751",30.6,1,1,2,1,0,0,10,0
Omari Hutchinson,eng ENG,"MF,FW",20,31,30,"2,583",28.7,3,2,5,3,0,0,5,0
Jacob Greaves,eng ENG,DF,23,25,25,"2,205",24.5,1,0,1,1,0,0,5,0
Jens Cajuste,se SWE,MF,24,30,25,"1,959",21.8,1,1,2,1,0,0,2,0
Axel Tuanzebe,cd COD,DF,26,22,20,"1,710",19.0,0,1,1,0,0,0,5,1
Arijanet Muric,xk KVX,GK,25,18,18,"1,620",18.0,0,0,0,0,0,0,1,0
Cameron Burgess,au AUS,DF,28,18,16,"1,541",17.1,0,2,2,0,0,0,0,0
Ben Johnson,eng ENG,"DF,FW",24,23,14,"1,354",15.0,1,2,3,1,0,0,5,1
Kalvin Phillips,eng ENG,MF,28,19,14,"1,237",13.7,0,0,0,0,0,0,6,1
Alex Palmer,eng ENG,GK,27,13,13,"1,170",13.0,0,0,0,0,0,0,2,0
Sammie Szmodics,ie IRL,"FW,MF",28,20,13,992,11.0,4,0,4,4,0,0,2,0
Luke Woolfenden,eng ENG,DF,25,15,12,"1,187",13.2,0,0,0,0,0,0,2,0
,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Jack Clarke,eng ENG,"FW,MF",23,32,12,"1,181",13.1,0,4,4,0,0,0,2,0
Wes Burns,wls WAL,"FW,DF",29,18,12,926,10.3,0,1,1,0,0,0,1,0
Julio Enciso,py PAR,"MF,FW",20,13,12,869,9.7,2,3,5,2,0,0,3,0
Conor Chaplin,eng ENG,"MF,FW",27,22,10,857,9.5,1,1,2,1,0,0,2,0
Nathan Broadhead,wls WAL,"MF,FW",26,18,7,702,7.8,2,0,2,2,0,0,1,0
Christian Walton,eng ENG,GK,28,7,7,630,7.0,0,0,0,0,0,0,0,0
George Hirst,sct SCO,FW,25,26,5,661,7.3,3,1,4,3,0,0,3,0
Jaden Philogene Bidace,eng ENG,"FW,DF",22,10,5,474,5.3,2,0,2,2,0,0,1,0
Jack Taylor,ie IRL,MF,26,32,4,860,9.6,1,0,1,1,0,0,4,0
Harry Clarke,eng ENG,DF,23,7,4,379,4.2,0,0,0,0,0,0,3,1
Conor Townsend,eng ENG,DF,31,6,3,335,3.7,0,1,1,0,0,0,1,0
Chiedozie Ogbene,ie IRL,FW,27,5,3,238,2.6,0,0,0,0,0,0,0,0
Massimo Luongo,au AUS,MF,31,11,2,201,2.2,0,0,0,0,0,0,0,0
Ben Godfrey,eng ENG,DF,26,3,2,159,1.8,0,0,0,0,0,0,1,0
Ali Al Hamadi,iq IRQ,FW,22,11,0,134,1.5,0,0,0,0,0,0,3,0
Marcus Harness,eng ENG,MF,28,2,0,45,0.5,0,0,0,0,0,0,0,0
George Edmundson,eng ENG,DF,26,1,0,2,0.0,0,0,0,0,0,0,0,0
Somto Boniface,eng ENG,DF,18,0,0,,,,,,,,,,
Cieran Slicker,sct SCO,GK,21,0,0,,,,,,,,,,
Tom Taylor,,MF,,0,0,,,,,,,,,,
