Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Jamie Vardy,eng ENG,FW,37,35,35,"2,823",31.4,9,4,13,8,1,2,5,0
James Justin,eng ENG,DF,26,36,34,"2,912",32.4,2,2,4,2,0,0,6,0
Wout Faes,be BEL,DF,26,34,30,"2,815",31.3,1,0,1,1,0,0,4,0
Victor Bernth Kristiansen,dk DEN,DF,21,30,29,"2,482",27.6,0,1,1,0,0,0,1,0
Wilfred Ndidi,ng NGA,MF,27,28,28,"2,324",25.8,0,5,5,0,0,0,8,0
Mads Hermansen,dk DEN,GK,24,27,27,"2,385",26.5,0,0,0,0,0,0,1,0
Bilal El Khannouss,ma MAR,"MF,FW",20,32,27,"2,182",24.2,2,3,5,2,0,0,4,0
Boubakary Soumaré,fr FRA,MF,25,31,25,"2,171",24.1,0,0,0,0,0,0,8,0
Conor Coady,eng ENG,DF,31,22,19,"1,714",19.0,1,0,1,1,0,0,3,0
Jordan Ayew,gh GHA,"FW,MF",32,30,19,"1,638",18.2,5,0,5,4,1,1,5,0
Harry Winks,eng ENG,MF,28,22,17,"1,538",17.1,0,2,2,0,0,0,4,0
Stephy Mavididi,eng ENG,FW,26,30,16,"1,615",17.9,4,1,5,4,0,0,2,0
Jannik Vestergaard,dk DEN,DF,31,18,16,"1,391",15.5,0,0,0,0,0,0,5,0
Facundo Buonanotte,ar ARG,"FW,MF",19,31,14,"1,523",16.9,5,2,7,5,0,0,8,0
Luke Thomas,eng ENG,DF,23,14,13,"1,110",12.3,0,0,0,0,0,0,3,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Caleb Okoli,it ITA,DF,23,19,12,"1,125",12.5,1,0,1,1,0,0,4,0
Oliver Skipp,eng ENG,MF,23,24,10,"1,129",12.5,0,0,0,0,0,0,8,0
Jakub Stolarczyk,pl POL,GK,23,10,10,900,10.0,0,0,0,0,0,0,1,0
Kasey McAteer,ie IRL,FW,22,18,9,852,9.5,1,1,2,1,0,0,3,0
Bobby De Cordova-Reid,jm JAM,FW,31,23,9,744,8.3,1,2,3,1,0,0,2,0
Patson Daka,zm ZAM,"FW,MF",25,23,6,736,8.2,1,0,1,1,0,0,0,0
Abdul Fatawu Issahaku,gh GHA,FW,20,11,6,579,6.4,0,2,2,0,0,0,0,0
Ricardo Pereira,pt POR,DF,30,10,4,388,4.3,0,0,0,0,0,0,1,0
Danny Ward,wls WAL,GK,31,2,1,135,1.5,0,0,0,0,0,0,0,0
Hamza Choudhury,bd BAN,"MF,DF",26,4,1,131,1.5,0,0,0,0,0,0,0,0
Woyo Coulibaly,ml MLI,DF,25,4,1,109,1.2,0,0,0,0,0,0,1,0
Jeremy Monga,,"FW,MF",15,7,0,112,1.2,0,0,0,0,0,0,0,0
Odsonne Édouard,fr FRA,FW,26,4,0,29,0.3,0,0,0,0,0,0,0,0
Jake Evans,,FW,,4,0,24,0.3,0,0,0,0,0,0,0,0
Olabade Aluko,,DF,,1,0,2,0.0,0,0,0,0,0,0,0,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Will Alves,eng ENG,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0
Michael Golding,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0
Sammy Braybrooke,eng ENG,MF,20,0,0,,,,,,,,,,
Thomas Cannon,ie IRL,FW,21,0,0,,,,,,,,,,
Henry Cartwright,eng ENG,MF,19,0,0,,,,,,,,,,
Daniel Iversen,dk DEN,GK,27,0,0,,,,,,,,,,
Benjamin Nelson,eng ENG,DF,20,0,0,,,,,,,,,,
Thomas Wilson-Brown,eng ENG,DF,19,0,0,,,,,,,,,,
