Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Mohamed Salah,eg EGY,FW,32,38,38,"3,371",37.5,29,18,47,20,9,9,1,0
Virgil van Dijk,nl NED,DF,33,37,37,"3,330",37.0,3,1,4,3,0,0,5,0
Ryan Gravenberch,nl NED,MF,22,37,37,"3,160",35.1,0,4,4,0,0,0,6,1
Alexis Mac Allister,ar ARG,MF,25,35,30,"2,599",28.9,5,5,10,5,0,0,6,0
Ibrahima Konaté,fr FRA,DF,25,31,30,"2,560",28.4,1,2,3,1,0,0,5,0
Dominik Szoboszlai,hu HUN,MF,23,36,29,"2,491",27.7,6,6,12,6,0,0,6,0
Andrew Robertson,sct SCO,DF,30,33,29,"2,482",27.6,0,1,1,0,0,0,3,1
Alisson,br BRA,GK,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0
Luis Díaz,co COL,FW,27,36,28,"2,399",26.7,13,5,18,13,0,0,2,0
Trent Alexander-Arnold,eng ENG,DF,25,33,28,"2,365",26.3,3,6,9,3,0,0,5,0
Cody Gakpo,nl NED,FW,25,35,23,"1,935",21.5,10,4,14,10,0,0,5,0
Curtis Jones,eng ENG,"MF,DF",23,33,19,"1,712",19.0,3,3,6,3,0,0,3,1
Diogo Jota,pt POR,FW,27,26,14,"1,196",13.3,6,3,9,6,0,0,2,0
Caoimhín Kelleher,ie IRL,GK,25,10,10,900,10.0,0,0,0,0,0,0,0,0
Kostas Tsimikas,gr GRE,DF,28,18,9,837,9.3,0,1,1,0,0,0,2,0
Darwin Núñez,uy URU,FW,25,30,8,"1,133",12.6,5,2,7,5,0,0,8,0
Conor Bradley,nir NIR,DF,21,19,7,754,8.4,0,2,2,0,0,0,4,0
Joe Gomez,eng ENG,DF,27,9,6,519,5.8,0,0,0,0,0,0,1,0
Jarell Quansah,eng ENG,DF,21,13,4,495,5.5,0,0,0,0,0,0,2,0
Harvey Elliott,eng ENG,MF,21,18,2,371,4.1,1,2,3,1,0,0,1,0
Wataru Endo,jp JPN,"MF,DF",31,20,1,273,3.0,0,0,0,0,0,0,0,0
Federico Chiesa,it ITA,FW,26,6,1,108,1.2,0,0,0,0,0,0,0,0
Vitezslav Jaros,cz CZE,GK,23,1,0,12,0.1,0,0,0,0,0,0,0,0
Jayden Danns,eng ENG,MF,18,1,0,11,0.1,0,0,0,0,0,0,0,0
Harvey Davies,eng ENG,GK,20,0,0,,,,,,,,,,
James McConnell,eng ENG,MF,19,0,0,,,,,,,,,,
Tyler Morton,eng ENG,MF,21,0,0,,,,,,,,,,
Amara Nallo,eng ENG,DF,17,0,0,,,,,,,,,,
Trey Nyoni,eng ENG,MF,17,0,0,,,,,,,,,,
