Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bruno Fernandes,pt POR,MF,29,36,35,"3,018",33.5,8,10,18,5,3,3,5,2
André Onana,cm CMR,GK,28,34,34,"3,060",34.0,0,0,0,0,0,0,0,0
Noussair Mazraoui,ma MAR,DF,26,37,34,"2,838",31.5,0,1,1,0,0,0,3,0
Diogo Dalot,pt POR,DF,25,33,31,"2,814",31.3,0,3,3,0,0,0,5,0
Matthijs de Ligt,nl NED,DF,24,29,25,"2,123",23.6,2,0,2,2,0,0,3,0
Alejandro Garnacho,ar ARG,"MF,FW",20,36,23,"2,199",24.4,6,2,8,6,0,0,3,0
Rasmus Højlund,dk DEN,FW,21,32,23,"2,004",22.3,4,0,4,4,0,0,2,0
Manuel Ugarte,uy URU,MF,23,29,22,"1,785",19.8,1,2,3,1,0,0,11,0
Amad Diallo,ci CIV,"MF,FW",22,26,20,"1,901",21.1,8,6,14,8,0,0,5,0
Lisandro Martínez,ar ARG,DF,26,20,20,"1,751",19.5,2,1,3,2,0,0,7,0
Harry Maguire,eng ENG,DF,31,27,19,"1,758",19.5,1,0,1,1,0,0,7,0
Kobbie Mainoo,eng ENG,MF,19,25,19,"1,651",18.3,0,0,0,0,0,0,5,0
Casemiro,br BRA,MF,32,24,18,"1,494",16.6,1,0,1,1,0,0,5,0
Joshua Zirkzee,nl NED,"FW,MF",23,32,14,"1,402",15.6,3,1,4,3,0,0,2,0
Leny Yoro,fr FRA,DF,18,21,12,"1,165",12.9,0,0,0,0,0,0,5,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Marcus Rashford,eng ENG,"FW,MF",26,15,12,978,10.9,4,1,5,4,0,0,2,0
Christian Eriksen,dk DEN,MF,32,23,11,"1,061",11.8,1,2,3,0,1,1,4,0
Patrick Dorgu,dk DEN,DF,19,12,10,842,9.4,0,0,0,0,0,0,3,1
Mason Mount,eng ENG,MF,25,17,8,622,6.9,1,0,1,1,0,0,3,0
Victor Lindelöf,se SWE,DF,30,16,6,704,7.8,0,0,0,0,0,0,1,0
Altay Bayındır,tr TUR,GK,26,4,4,360,4.0,0,0,0,0,0,0,0,0
Luke Shaw,eng ENG,DF,29,7,4,349,3.9,0,0,0,0,0,0,1,0
Harry Amass,eng ENG,DF,17,5,4,346,3.8,0,0,0,0,0,0,0,0
Jonny Evans,nir NIR,DF,36,7,3,315,3.5,0,0,0,0,0,0,1,0
Ayden Heaven,eng ENG,DF,17,4,2,170,1.9,0,0,0,0,0,0,1,0
Tyler Fredricson,eng ENG,DF,19,2,2,165,1.8,0,0,0,0,0,0,0,0
Tyrell Malacia,nl NED,DF,24,3,2,100,1.1,0,0,0,0,0,0,1,0
Chidozie Obi-Martin,dk DEN,FW,16,7,1,165,1.8,0,0,0,0,0,0,1,0
Toby Collyer,eng ENG,MF,20,6,0,179,2.0,0,0,0,0,0,0,0,0
Antony,br BRA,"DF,MF",24,8,0,141,1.6,0,0,0,0,0,0,0,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Scott McTominay,sct SCO,MF,27,2,0,19,0.2,0,0,0,0,0,0,0,0
Jayce Fitzgerald,eng ENG,MF,17,0,0,,,,,,,,,,
Jack Fletcher,eng ENG,MF,17,0,0,,,,,,,,,,
Hubert Graczyk,pl POL,GK,21,0,0,,,,,,,,,,
Elyh Harrison,eng ENG,GK,18,0,0,,,,,,,,,,
Tom Heaton,eng ENG,GK,38,0,0,,,,,,,,,,
Sekou Koné,ml MLI,MF,18,0,0,,,,,,,,,,
Godwill Kukonki,eng ENG,DF,16,0,0,,,,,,,,,,
Dermot Mee,nir NIR,GK,21,0,0,,,,,,,,,,
Jack Moorhouse,eng ENG,MF,18,0,0,,,,,,,,,,
Ethan Wheatley,eng ENG,FW,18,0,0,,,,,,,,,,
