Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bruno Guimarães,br BRA,MF,26,38,38,"3,271",36.3,5,6,11,5,0,0,7,0
Dan Burn,eng ENG,DF,32,37,37,"3,330",37.0,1,1,2,1,0,0,11,0
Alexander Isak,se SWE,FW,24,34,34,"2,756",30.6,23,6,29,19,4,4,1,0
Fabian Schär,ch SUI,DF,32,34,33,"2,934",32.6,4,0,4,4,0,0,9,1
Valentino Livramento,eng ENG,DF,21,37,32,"2,840",31.6,0,1,1,0,0,0,1,0
Jacob Murphy,eng ENG,FW,29,35,31,"2,360",26.2,8,12,20,8,0,0,4,0
Joelinton,br BRA,"MF,FW",27,29,29,"2,393",26.6,4,3,7,4,0,0,10,0
Sandro Tonali,it ITA,MF,24,36,28,"2,630",29.2,4,2,6,4,0,0,5,0
Nick Pope,eng ENG,GK,32,28,28,"2,520",28.0,0,0,0,0,0,0,2,0
Anthony Gordon,eng ENG,"FW,MF",23,34,28,"2,434",27.0,6,5,11,5,1,2,2,0
Lewis Hall,eng ENG,DF,19,27,24,"2,189",24.3,0,4,4,0,0,0,3,0
Harvey Barnes,eng ENG,FW,26,33,17,"1,755",19.5,9,4,13,9,0,0,0,0
Kieran Trippier,eng ENG,DF,33,25,14,"1,309",14.5,0,3,3,0,0,0,1,0
Joe Willock,eng ENG,"MF,FW",24,32,11,"1,086",12.1,0,2,2,0,0,0,4,0
Martin Dúbravka,sk SVK,GK,35,10,10,900,10.0,0,0,0,0,0,0,0,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Sean Longstaff,eng ENG,MF,26,25,8,798,8.9,0,0,0,0,0,0,2,0
Sven Botman,nl NED,DF,24,8,6,412,4.6,0,0,0,0,0,0,1,0
Lloyd Kelly,eng ENG,DF,25,10,4,303,3.4,0,1,1,0,0,0,2,0
Callum Wilson,eng ENG,FW,32,18,2,370,4.1,0,0,0,0,0,0,1,0
Emil Krafth,se SWE,DF,29,12,2,342,3.8,0,0,0,0,0,0,2,0
Lewis Miley,eng ENG,MF,18,14,1,313,3.5,1,0,1,1,0,0,0,0
Miguel Almirón,py PAR,FW,30,9,1,157,1.7,0,0,0,0,0,0,0,0
William Osula,dk DEN,FW,20,14,0,134,1.5,1,0,1,1,0,0,0,0
Matt Targett,eng ENG,DF,28,2,0,21,0.2,0,0,0,0,0,0,0,0
Jamaal Lascelles,eng ENG,DF,30,0,0,,,,,,,,,,
Alex Murphy,ie IRL,DF,20,0,0,,,,,,,,,,
Sean Neave,eng ENG,FW,17,0,0,,,,,,,,,,
John Ruddy,eng ENG,GK,37,0,0,,,,,,,,,,
Leo Shahar,eng ENG,DF,17,0,0,,,,,,,,,,
Odysseas Vlachodimos,gr GRE,GK,30,0,0,,,,,,,,,,
