Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Pedro Porro,es ESP,DF,24,33,28,"2,610",29.0,2,6,8,2,0,0,5,0
Dejan Kulusevski,se SWE,"MF,FW",24,32,27,"2,389",26.5,7,4,11,7,0,0,3,0
Dominic Solanke,eng ENG,FW,26,27,25,"2,201",24.5,9,3,12,8,1,1,0,0
Brennan Johnson,wls WAL,FW,23,33,24,"2,177",24.2,11,3,14,11,0,0,5,0
Guglielmo Vicario,it ITA,GK,27,24,24,"2,160",24.0,0,0,0,0,0,0,1,0
Son Heung-min,kr KOR,FW,32,30,24,"2,110",23.4,7,9,16,6,1,2,1,0
Destiny Udogie,it ITA,DF,21,25,24,"1,924",21.4,0,1,1,0,0,0,2,0
Pape Matar Sarr,sn SEN,MF,21,36,22,"1,913",21.3,3,2,5,3,0,0,6,0
James Maddison,eng ENG,MF,27,31,21,"1,809",20.1,9,7,16,9,0,0,6,0
Rodrigo Bentancur,uy URU,MF,27,26,21,"1,645",18.3,2,0,2,2,0,0,9,0
Djed Spence,eng ENG,DF,23,25,19,"1,792",19.9,1,2,3,1,0,0,4,1
Archie Gray,eng ENG,"DF,MF",18,28,19,"1,751",19.5,0,0,0,0,0,0,1,0
Cristian Romero,ar ARG,DF,26,18,18,"1,416",15.7,1,0,1,1,0,0,3,0
Yves Bissouma,ml MLI,MF,27,28,16,"1,408",15.6,2,0,2,2,0,0,7,0
Ben Davies,wls WAL,DF,31,17,14,"1,331",14.8,0,0,0,0,0,0,5,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Radu Drăgușin,ro ROU,DF,22,16,14,"1,252",13.9,0,0,0,0,0,0,1,0
Micky van de Ven,nl NED,DF,23,13,12,"1,015",11.3,0,2,2,0,0,0,4,0
Lucas Bergvall,se SWE,MF,18,27,11,"1,212",13.5,0,1,1,0,0,0,3,0
Mathys Tel,fr FRA,FW,19,13,11,911,10.1,2,1,3,1,1,1,2,0
Wilson Odobert,fr FRA,"FW,MF",19,16,9,850,9.4,1,0,1,1,0,0,0,0
Kevin Danso,at AUT,DF,25,10,9,842,9.4,0,0,0,0,0,0,0,0
Fraser Forster,eng ENG,GK,36,7,7,630,7.0,0,0,0,0,0,0,0,0
Antonín Kinský,cz CZE,GK,21,6,6,540,6.0,0,0,0,0,0,0,0,0
Timo Werner,de GER,"FW,MF",28,18,4,516,5.7,0,3,3,0,0,0,0,0
Richarlison,br BRA,FW,27,15,4,504,5.6,4,1,5,4,0,0,2,0
Mikey Moore,eng ENG,FW,16,10,3,366,4.1,0,1,1,0,0,0,0,0
Sergio Reguilón,es ESP,DF,27,4,1,196,2.2,0,0,0,0,0,0,2,0
Brandon Austin,eng ENG,GK,25,1,1,90,1.0,0,0,0,0,0,0,0,0
Dane Scarlett,eng ENG,"FW,MF",20,3,0,34,0.4,0,1,1,0,0,0,0,0
Alfie Dorrington,eng ENG,DF,19,1,0,14,0.2,0,0,0,0,0,0,0,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Will Lankshear,eng ENG,"FW,MF",19,3,0,11,0.1,0,0,0,0,0,0,0,0
Oyindamola Ajayi,eng ENG,MF,18,0,0,,,,,,,,,,
Dante Cassanova,jm JAM,DF,20,0,0,,,,,,,,,,
Alfie Devine,eng ENG,MF,19,0,0,,,,,,,,,,
Malachi Hardy,eng ENG,DF,16,0,0,,,,,,,,,,
Maeson King,eng ENG,DF,18,0,0,,,,,,,,,,
Yang Minhyeok,kr KOR,MF,18,0,0,,,,,,,,,,
Callum Olusesi,eng ENG,MF,17,0,0,,,,,,,,,,
Alfie Whiteman,eng ENG,GK,25,0,0,,,,,,,,,,
Luca Williams Barnett,eng ENG,FW,15,0,0,,,,,,,,,,
