Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Rayan Aït-Nouri,dz ALG,DF,23,37,37,"3,109",34.5,4,7,11,4,0,0,7,1
João Gomes,br BRA,MF,23,36,35,"2,974",33.0,3,1,4,3,0,0,11,1
Nélson Semedo,pt POR,DF,30,34,32,"2,886",32.1,0,4,4,0,0,0,8,0
André,br BRA,MF,23,33,31,"2,472",27.5,0,0,0,0,0,0,7,0
Toti Gomes,pt POR,DF,25,31,30,"2,614",29.0,0,1,1,0,0,0,7,0
Jørgen Strand Larsen,no NOR,FW,24,35,30,"2,587",28.7,14,4,18,14,0,0,4,0
José Sá,pt POR,GK,31,29,29,"2,609",29.0,0,0,0,0,0,0,2,0
Matheus Cunha,br BRA,"MF,FW",25,33,29,"2,597",28.9,15,6,21,15,0,0,4,0
Matt Doherty,ie IRL,DF,32,30,25,"2,109",23.4,2,1,3,2,0,0,6,0
Jean-Ricner Bellegarde,ht HAI,"MF,FW",26,35,20,"1,677",18.6,2,7,9,2,0,0,3,0
Santiago Bueno,uy URU,DF,25,29,18,"1,687",18.7,0,0,0,0,0,0,2,0
Emmanuel Agbadou,ci CIV,DF,27,16,16,"1,410",15.7,1,0,1,1,0,0,3,0
Mario Lemina,ga GAB,"MF,DF",30,17,15,"1,364",15.2,1,3,4,1,0,0,4,0
Marshall Munetsi,zw ZIM,"MF,FW",28,14,12,"1,078",12.0,2,1,3,2,0,0,0,0
Gonçalo Guedes,pt POR,"MF,FW",27,29,10,995,11.1,2,4,6,2,0,0,1,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Craig Dawson,eng ENG,DF,34,15,10,971,10.8,0,0,0,0,0,0,2,0
Pablo Sarabia,es ESP,"MF,FW",32,23,7,814,9.0,3,2,5,3,0,0,3,0
Rodrigo Gomes,pt POR,"DF,FW",21,25,7,810,9.0,2,0,2,2,0,0,0,0
Sam Johnstone,eng ENG,GK,31,7,7,630,7.0,0,0,0,0,0,0,0,0
Hwang Hee-chan,kr KOR,"MF,FW",28,21,5,661,7.3,2,0,2,2,0,0,0,0
Yerson Mosquera,co COL,DF,23,5,5,441,4.9,0,0,0,0,0,0,2,0
Tommy Doyle,eng ENG,MF,22,24,3,488,5.4,0,1,1,0,0,0,1,0
Daniel Bentley,eng ENG,GK,31,2,2,180,2.0,0,0,0,0,0,0,0,0
Carlos Forbs,pt POR,"MF,FW",20,10,1,239,2.7,0,0,0,0,0,0,2,0
Pedro Lima,br BRA,DF,18,3,1,70,0.8,0,0,0,0,0,0,0,0
Nasser Djiga,bf BFA,DF,21,5,1,66,0.7,0,0,0,0,0,0,0,0
Daniel Podence,pt POR,"MF,FW",28,2,0,48,0.5,0,0,0,0,0,0,0,0
Chiquinho,pt POR,MF,24,1,0,7,0.1,0,0,0,0,0,0,0,0
Mateus Mane,,MF,,1,0,2,0.0,0,0,0,0,0,0,0,0
Tom King,wls WAL,GK,29,1,0,1,0.0,0,0,0,0,0,0,0,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Alfie Pond,eng ENG,DF,20,1,0,1,0.0,0,0,0,0,0,0,0,0
Boubacar Traoré,ml MLI,MF,22,1,0,1,0.0,0,0,0,0,0,0,0,0
Tawanda Chirewa,zw ZIM,MF,20,0,0,,,,,,,,,,
Luke Cundle,eng ENG,MF,22,0,0,,,,,,,,,,
Tom Edozie,eng ENG,MF,18,0,0,,,,,,,,,,
Bastien Meupiyou,fr FRA,DF,18,0,0,,,,,,,,,,
Wesley Okoduwa,eng ENG,FW,16,0,0,,,,,,,,,,
