Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
David Raya,ESP,GK,28,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
William Saliba,FRA,DF,23,35,35,3039.0,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,
Declan Rice,ENG,MF,25,35,33,2825.0,31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,
Thomas Partey,GHA,MF,31,35,31,2797.0,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,DF
Leandro Trossard,BEL,FW,29,38,28,2546.0,28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,
Gabriel Magalhães,BRA,DF,26,28,28,2363.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,
Jurriën Timber,NED,DF,23,30,27,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,
Martin Ødegaard,NOR,MF,25,30,26,2325.0,25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,
Gabriel Martinelli,BRA,FW,23,33,25,2290.0,25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,MF
Kai Havertz,GER,FW,25,23,21,1875.0,20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,MF
Bukayo Saka,ENG,FW,22,25,20,1729.0,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,MF
Mikel Merino,ESP,MF,28,28,17,1586.0,17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,FW
Myles Lewis-Skelly,ENG,DF,17,23,15,1369.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,
Ben White,ENG,DF,26,17,13,1198.0,13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,
Riccardo Calafiori,ITA,DF,22,19,11,983.0,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,
Ethan Nwaneri,ENG,FW,17,26,11,895.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,MF
Jakub Kiwior,POL,DF,24,17,10,1122.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
Jorginho,ITA,MF,32,15,9,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Raheem Sterling,ENG,FW,29,17,7,499.0,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,MF
Gabriel Jesus,BRA,FW,27,17,6,608.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,
Oleksandr Zinchenko,UKR,DF,27,15,5,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,MF
Kieran Tierney,SCO,DF,27,13,2,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,FW
Nathan Butler-Oyedeji,ENG,FW,21,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Takehiro Tomiyasu,JPN,DF,25,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Reiss Nelson,ENG,FW,24,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brayden Clarke,WAL,DF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jimi Gower,ENG,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ayden Heaven,ENG,DF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jack Henry-Francis,IRL,MF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ismeal Kabia,ENG,MF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maldini Kacurri,ALB,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Neto,BRA,GK,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Josh Nichols,ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eddie Nketiah,ENG,FW,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Salah Oulad M'Hand,NED,MF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jack Porter,ENG,GK,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Ramsdale,ENG,GK,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tommy Setford,ENG,GK,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
