Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Milos Kerkez,HUN,DF,20,38,38,3336.0,37.1,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,
Antoine Semenyo,GHA,FW,24,37,36,3203.0,35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,
Illia Zabarnyi,UKR,DF,21,36,35,3109.0,34.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,
Lewis Cook,ENG,MF,27,36,32,2978.0,33.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,DF
Kepa Arrizabalaga,ESP,GK,29,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Justin Kluivert,NED,MF,25,34,29,2340.0,26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,
Evanilson,BRA,FW,24,31,28,2319.0,25.8,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,
Ryan Christie,SCO,MF,29,29,27,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,
Dean Huijsen,ESP,DF,19,32,26,2427.0,27.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,
Dango Ouattara,BFA,FW,22,32,21,2005.0,22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,
Tyler Adams,USA,MF,25,28,21,1965.0,21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,
Marcus Tavernier,ENG,FW,25,29,20,1939.0,21.5,3.0,5.0,8.0,3.0,0.0,0.0,6.0,0.0,MF
Adam Smith,ENG,DF,33,25,19,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
Marcos Senesi,ARG,DF,27,17,13,1106.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
David Brooks,WAL,FW,27,29,9,960.0,10.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,MF
Alex Scott,ENG,MF,20,20,8,755.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Julian Araujo,MEX,DF,22,12,7,497.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
James Hill,ENG,DF,22,10,6,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
Mark Travers,IRL,GK,25,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Enes Ünal,TUR,FW,27,17,2,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,MF
Neto,BRA,GK,35,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luis Sinisterra,COL,FW,25,12,1,236.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,MF
Philip Billing,DEN,MF,28,10,1,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Max Aarons,ENG,DF,24,3,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Daniel Jebbison,CAN,FW,20,16,0,119.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
Ben Winterburn,ENG,MF,19,4,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Julio Soler,ARG,DF,19,3,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Remy Rees-Dottin,ENG,FW,18,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Zain Silcott-Duberry,MSR,FW,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Daniel Adu-Adjei,ENG,FW,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Matai Akinmboni,USA,DF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jaidon Anthony,ENG,FW,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Will Dennis,ENG,GK,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Archie Harris,WAL,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hamed Junior Traorè,CIV,FW,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Callan Mckenna,SCO,GK,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dominic Sadi,ENG,MF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maxwell Wellings,ENG,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
