Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Moisés Caicedo,ECU,MF,22,38,38,3351.0,37.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,DF
Cole Palmer,ENG,MF,22,37,36,3191.0,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,FW
Levi Colwill,ENG,DF,21,35,35,3149.0,35.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,
Marc Cucurella,ESP,DF,26,36,33,2988.0,33.2,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,
Enzo Fernández,ARG,MF,23,36,32,2947.0,32.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,
Robert Sánchez,ESP,GK,26,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Nicolas Jackson,SEN,FW,23,30,28,2220.0,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,
Noni Madueke,ENG,FW,22,32,27,2033.0,22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,
Pedro Neto,POR,FW,24,35,24,2269.0,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,
Malo Gusto,FRA,DF,21,32,19,1862.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,
Jadon Sancho,ENG,FW,24,31,19,1764.0,19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,
Tosin Adarabioyo,ENG,DF,26,22,15,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,
Wesley Fofana,FRA,DF,23,14,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
Reece James,ENG,DF,24,19,12,1063.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,MF
Trevoh Chalobah,ENG,DF,25,13,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,
Roméo Lavia,BEL,MF,20,16,11,797.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,
Christopher Nkunku,FRA,FW,26,27,9,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,
Filip Jørgensen,DEN,GK,22,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Axel Disasi,FRA,DF,26,6,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
João Félix,POR,FW,24,12,3,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,MF
Benoît Badiashile,FRA,DF,23,5,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kiernan Dewsbury-Hall,ENG,MF,25,13,2,264.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,FW
Joshua Acheampong,ENG,DF,18,4,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Tyrique George,ENG,FW,18,8,1,183.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,
Renato Veiga,POR,DF,21,7,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MF
Mykhailo Mudryk,UKR,FW,23,7,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marc Guiu,ESP,FW,18,3,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mathis Amougou,FRA,MF,18,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Shumaira Mheuka,ENG,MF,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Anselmino,ARG,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Genesis Antwi,SWE,MF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marcus Bettinelli,ENG,GK,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cesare Casadei,ITA,MF,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Samuel Rak-Sakyi,ENG,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ishé Samuels-Smith,ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
