Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Dean Henderson,ENG,GK,27,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Daniel Muñoz,COL,DF,28,37,37,3228.0,35.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,
Tyrick Mitchell,ENG,DF,24,37,37,3092.0,34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,
Maxence Lacroix,FRA,DF,24,35,35,3116.0,34.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,
Marc Guéhi,ENG,DF,24,34,34,3059.0,34.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,
Jean-Philippe Mateta,FRA,FW,27,37,33,2648.0,29.4,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,
Eberechi Eze,ENG,MF,26,34,31,2588.0,28.8,8.0,8.0,16.0,7.0,1.0,2.0,1.0,0.0,FW
Ismaila Sarr,SEN,MF,26,38,30,2711.0,30.1,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,
Jefferson Lerma,COL,MF,29,33,26,2274.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,DF
Will Hughes,ENG,MF,29,33,24,2108.0,23.4,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,
Chris Richards,USA,DF,24,24,22,1922.0,21.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,
Adam Wharton,ENG,MF,20,20,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,
Daichi Kamada,JPN,MF,27,34,15,1564.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,
Trevoh Chalobah,ENG,DF,25,12,12,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,
Eddie Nketiah,ENG,FW,25,29,9,1034.0,11.5,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,MF
Nathaniel Clyne,ENG,DF,33,13,5,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MF
Justin Devenny,NIR,MF,20,23,4,507.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,
Cheick Doucouré,MLI,MF,24,13,4,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Ben Chilwell,ENG,DF,27,8,1,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
Romain Esse,ENG,MF,19,7,1,138.0,1.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,
Odsonne Édouard,FRA,MF,26,2,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Joachim Andersen,DEN,DF,28,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Chadi Riad,MAR,DF,21,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joel Ward,ENG,DF,34,2,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Jeffrey Schlupp,GHA,MF,31,12,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Matheus França,BRA,MF,20,4,0,55.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,FW
Jordan Ayew,GHA,FW,32,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MF
Caleb Kporha,ENG,DF,18,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Asher Agbinone,ENG,MF,18,2,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Naouirou Ahamada,FRA,MF,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rob Holding,ENG,DF,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sam Johnstone,ENG,GK,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Zachariah Marsh,ENG,FW,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Remi Matthews,ENG,GK,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kaden Rodney,ENG,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Matt Turner,USA,GK,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Franco Umeh-Chibueze,IRL,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
