Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Jamie Vardy,ENG,FW,37.0,35,35,2823.0,31.4,9.0,4.0,13.0,8.0,1.0,2.0,5.0,0.0,
James Justin,ENG,DF,26.0,36,34,2912.0,32.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,
Wout Faes,BEL,DF,26.0,34,30,2815.0,31.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,
Victor Bernth Kristiansen,DEN,DF,21.0,30,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
Wilfred Ndidi,NGA,MF,27.0,28,28,2324.0,25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,
Mads Hermansen,DEN,GK,24.0,27,27,2385.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Bilal El Khannouss,MAR,MF,20.0,32,27,2182.0,24.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,FW
Boubakary Soumaré,FRA,MF,25.0,31,25,2171.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,
Conor Coady,ENG,DF,31.0,22,19,1714.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,
Jordan Ayew,GHA,FW,32.0,30,19,1638.0,18.2,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,MF
Harry Winks,ENG,MF,28.0,22,17,1538.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,
Stephy Mavididi,ENG,FW,26.0,30,16,1615.0,17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,
Jannik Vestergaard,DEN,DF,31.0,18,16,1391.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Facundo Buonanotte,ARG,FW,19.0,31,14,1523.0,16.9,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,MF
Luke Thomas,ENG,DF,23.0,14,13,1110.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Caleb Okoli,ITA,DF,23.0,19,12,1125.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,
Oliver Skipp,ENG,MF,23.0,24,10,1129.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,
Jakub Stolarczyk,POL,GK,23.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Kasey McAteer,IRL,FW,22.0,18,9,852.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,
Bobby De Cordova-Reid,JAM,FW,31.0,23,9,744.0,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,
Patson Daka,ZAM,FW,25.0,23,6,736.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,MF
Abdul Fatawu Issahaku,GHA,FW,20.0,11,6,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Ricardo Pereira,POR,DF,30.0,10,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Danny Ward,WAL,GK,31.0,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hamza Choudhury,BAN,MF,26.0,4,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Woyo Coulibaly,MLI,DF,25.0,4,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Jeremy Monga,,FW,15.0,7,0,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Odsonne Édouard,FRA,FW,26.0,4,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jake Evans,,FW,0.0,4,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Olabade Aluko,,DF,0.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Will Alves,ENG,FW,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael Golding,ENG,MF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sammy Braybrooke,ENG,MF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Thomas Cannon,IRL,FW,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Henry Cartwright,ENG,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Daniel Iversen,DEN,GK,27.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Benjamin Nelson,ENG,DF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Thomas Wilson-Brown,ENG,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
