Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Joško Gvardiol,CRO,DF,22.0,37.0,36.0,3277.0,36.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,
Erling Haaland,NOR,FW,24.0,31.0,31.0,2736.0,30.4,22.0,3.0,25.0,19.0,3.0,4.0,2.0,0.0,
Bernardo Silva,POR,MF,29.0,33.0,29.0,2670.0,29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,FW
Ederson,BRA,GK,30.0,26.0,26.0,2320.0,25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,
Rúben Dias,POR,DF,27.0,27.0,25.0,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,
İlkay Gündoğan,GER,MF,33.0,33.0,25.0,2223.0,24.7,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,
Mateo Kovačić,CRO,MF,30.0,31.0,25.0,2198.0,24.4,6.0,2.0,8.0,6.0,0.0,0.0,5.0,1.0,
Manuel Akanji,SUI,DF,29.0,26.0,23.0,2014.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Rico Lewis,ENG,DF,19.0,28.0,21.0,1893.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,MF
Sávio,BRA,FW,20.0,29.0,21.0,1766.0,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,MF
Phil Foden,ENG,MF,24.0,28.0,20.0,1777.0,19.7,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,FW
Kevin De Bruyne,BEL,MF,33.0,28.0,19.0,1702.0,18.9,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,FW
Matheus Nunes,POR,DF,25.0,26.0,19.0,1674.0,18.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,MF
Jeremy Doku,BEL,FW,22.0,29.0,16.0,1516.0,16.8,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,MF
Omar Marmoush,EGY,FW,25.0,16.0,14.0,1175.0,13.1,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,MF
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Stefan Ortega,GER,GK,31.0,13.0,12.0,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Kyle Walker,ENG,DF,34.0,15.0,9.0,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Nicolás González,ESP,MF,22.0,11.0,9.0,760.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,
Nathan Aké,NED,DF,29.0,10.0,8.0,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jack Grealish,ENG,FW,28.0,20.0,7.0,721.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,MF
John Stones,ENG,DF,30.0,11.0,6.0,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,MF
Nico O’Reilly,ENG,DF,19.0,9.0,6.0,528.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,
Abdukodir Khusanov,UZB,DF,20.0,6.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
James Mcatee,ENG,MF,21.0,15.0,3.0,349.0,3.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,FW
Jahmai Simpson-Pusey,ENG,DF,18.0,2.0,1.0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Rodri,ESP,MF,28.0,3.0,1.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Divin Mubama,ENG,FW,19.0,1.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oscar Bobb,NOR,FW,21.0,3.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Claudio Echeverri,ARG,FW,18.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vitor Reis,BRA,DF,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Max Alleyne,ENG,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Thorsten Brits,ENG,GK,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Scott Carson,ENG,GK,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Issa Kaboré,BFA,DF,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Josh Wilson-Esbrand,ENG,DF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jacob Wright,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
