Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Bruno Fernandes,POR,MF,29,36,35,3018.0,33.5,8.0,10.0,18.0,5.0,3.0,3.0,5.0,2.0,
André Onana,CMR,GK,28,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Noussair Mazraoui,MAR,DF,26,37,34,2838.0,31.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,
Diogo Dalot,POR,DF,25,33,31,2814.0,31.3,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,
Matthijs de Ligt,NED,DF,24,29,25,2123.0,23.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,
Alejandro Garnacho,ARG,MF,20,36,23,2199.0,24.4,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,FW
Rasmus Højlund,DEN,FW,21,32,23,2004.0,22.3,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,
Manuel Ugarte,URU,MF,23,29,22,1785.0,19.8,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,
Amad Diallo,CIV,MF,22,26,20,1901.0,21.1,8.0,6.0,14.0,8.0,0.0,0.0,5.0,0.0,FW
Lisandro Martínez,ARG,DF,26,20,20,1751.0,19.5,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,
Harry Maguire,ENG,DF,31,27,19,1758.0,19.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,
Kobbie Mainoo,ENG,MF,19,25,19,1651.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Casemiro,BRA,MF,32,24,18,1494.0,16.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,
Joshua Zirkzee,NED,FW,23,32,14,1402.0,15.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,MF
Leny Yoro,FRA,DF,18,21,12,1165.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Marcus Rashford,ENG,FW,26,15,12,978.0,10.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,MF
Christian Eriksen,DEN,MF,32,23,11,1061.0,11.8,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,
Patrick Dorgu,DEN,DF,19,12,10,842.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,
Mason Mount,ENG,MF,25,17,8,622.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,
Victor Lindelöf,SWE,DF,30,16,6,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Altay Bayındır,TUR,GK,26,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luke Shaw,ENG,DF,29,7,4,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Harry Amass,ENG,DF,17,5,4,346.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jonny Evans,NIR,DF,36,7,3,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Ayden Heaven,ENG,DF,17,4,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Tyler Fredricson,ENG,DF,19,2,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tyrell Malacia,NED,DF,24,3,2,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Chidozie Obi-Martin,DEN,FW,16,7,1,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Toby Collyer,ENG,MF,20,6,0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Antony,BRA,DF,24,8,0,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Scott McTominay,SCO,MF,27,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jayce Fitzgerald,ENG,MF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jack Fletcher,ENG,MF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hubert Graczyk,POL,GK,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Elyh Harrison,ENG,GK,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom Heaton,ENG,GK,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sekou Koné,MLI,MF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Godwill Kukonki,ENG,DF,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dermot Mee,NIR,GK,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jack Moorhouse,ENG,MF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ethan Wheatley,ENG,FW,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
