Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Matz Sels,BEL,GK,32,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,
Nikola Milenković,SRB,DF,26,37,37,3330.0,37.0,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,
Murillo,BRA,DF,22,36,36,3188.0,35.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,
Ola Aina,NGA,DF,27,35,35,2995.0,33.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,
Chris Wood,NZL,FW,32,36,35,2959.0,32.9,20.0,3.0,23.0,17.0,3.0,3.0,1.0,0.0,
Morgan Gibbs-White,ENG,MF,24,34,34,2803.0,31.1,7.0,8.0,15.0,7.0,0.0,0.0,11.0,1.0,
Elliot Anderson,ENG,MF,21,37,33,2728.0,30.3,2.0,6.0,8.0,2.0,0.0,0.0,10.0,0.0,
Anthony Elanga,SWE,FW,22,38,31,2501.0,27.8,6.0,11.0,17.0,6.0,0.0,0.0,1.0,0.0,MF
Neco Williams,WAL,DF,23,35,28,2594.0,28.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,
Callum Hudson-Odoi,ENG,FW,23,31,25,2194.0,24.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,MF
Nicolás Domínguez,ARG,MF,26,34,23,1963.0,21.8,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,FW
Ryan Yates,ENG,MF,26,35,18,1915.0,21.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,
Álex Moreno,ESP,DF,31,15,11,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,MF
Ibrahim Sangaré,CIV,MF,26,13,7,590.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,
Morato,BRA,DF,23,26,6,907.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Jota Silva,POR,FW,24,31,5,854.0,9.5,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,MF
James Ward-Prowse,ENG,MF,29,9,5,400.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,
Danilo,BRA,MF,23,8,5,275.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Taiwo Awoniyi,NGA,FW,26,26,3,416.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
Ramón Sosa,PAR,FW,24,19,1,295.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,MF
Willy Boly,CIV,DF,33,6,1,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Harry Toffolo,ENG,DF,28,4,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Eric da Silva Moreira,GER,MF,18,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Zach Abbott,ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wayne Hennessey,WAL,GK,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Carlos Miguel,BRA,GK,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Omobamidele,IRL,DF,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
