Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Mateus Fernandes,POR,MF,20.0,36.0,34.0,2909.0,32.3,2.0,4.0,6.0,2.0,0.0,0.0,8.0,0.0,
Kyle Walker-Peters,ENG,DF,27.0,33.0,33.0,2918.0,32.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,
Taylor Harwood-Bellis,ENG,DF,22.0,34.0,32.0,2825.0,31.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,
Aaron Ramsdale,ENG,GK,26.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Jan Bednarek,POL,DF,28.0,30.0,30.0,2531.0,28.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,
Flynn Downes,ENG,MF,25.0,27.0,25.0,2151.0,23.9,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,
Joe Aribo,NGA,MF,28.0,32.0,21.0,2013.0,22.4,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,DF
Tyler Dibling,ENG,FW,18.0,33.0,20.0,1874.0,20.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,MF
Lesley Ugochukwu,FRA,MF,20.0,26.0,18.0,1655.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,
Ryan Manning,IRL,DF,28.0,24.0,18.0,1462.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,MF
Kamaldeen Sulemana,GHA,FW,22.0,26.0,17.0,1402.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,MF
Jack Stephens,ENG,DF,30.0,19.0,17.0,1389.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,
Yukinari Sugawara,JPN,DF,24.0,30.0,16.0,1557.0,17.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,MF
Adam Armstrong,ENG,FW,27.0,20.0,15.0,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,MF
Cameron Archer,ENG,FW,23.0,35.0,13.0,1441.0,16.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James Bree,ENG,DF,26.0,17.0,13.0,1075.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Paul Onuachu,NGA,FW,30.0,25.0,11.0,1050.0,11.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,
Nathan Wood-Gordon,ENG,DF,22.0,11.0,9.0,773.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
William Smallbone,IRL,MF,24.0,18.0,6.0,690.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
Welington,BRA,DF,23.0,10.0,6.0,482.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Alex McCarthy,ENG,GK,34.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Lallana,ENG,MF,36.0,14.0,5.0,361.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,
Ben Brereton,CHI,FW,25.0,10.0,4.0,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Ross Stewart,SCO,FW,28.0,12.0,4.0,389.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
Ryan Fraser,SCO,FW,30.0,8.0,4.0,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DF
Charlie Taylor,ENG,DF,30.0,8.0,3.0,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Joe Lumley,ENG,GK,29.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Armel Bella Kotchap,GER,DF,22.0,4.0,2.0,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albert Grønbaek,DEN,FW,23.0,4.0,2.0,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Jay Robinson,ENG,MF,17.0,4.0,1.0,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maxwel Cornet,CIV,FW,27.0,2.0,1.0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Samuel Edozie,ENG,DF,21.0,2.0,0.0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FW
Samuel Amo-Ameyaw,ENG,FW,18.0,2.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DF
Joachim Kayi Sanda,FRA,DF,17.0,2.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ronnie Edwards,ENG,DF,21.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Carlos Alcaraz,ARG,MF,21.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
