Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Pedro Porro,ESP,DF,24,33,28,2610.0,29.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,
Dejan Kulusevski,SWE,MF,24,32,27,2389.0,26.5,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,FW
Dominic Solanke,ENG,FW,26,27,25,2201.0,24.5,9.0,3.0,12.0,8.0,1.0,1.0,0.0,0.0,
Brennan Johnson,WAL,FW,23,33,24,2177.0,24.2,11.0,3.0,14.0,11.0,0.0,0.0,5.0,0.0,
Guglielmo Vicario,ITA,GK,27,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Son Heung-min,KOR,FW,32,30,24,2110.0,23.4,7.0,9.0,16.0,6.0,1.0,2.0,1.0,0.0,
Destiny Udogie,ITA,DF,21,25,24,1924.0,21.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,
Pape Matar Sarr,SEN,MF,21,36,22,1913.0,21.3,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,
James Maddison,ENG,MF,27,31,21,1809.0,20.1,9.0,7.0,16.0,9.0,0.0,0.0,6.0,0.0,
Rodrigo Bentancur,URU,MF,27,26,21,1645.0,18.3,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,
Djed Spence,ENG,DF,23,25,19,1792.0,19.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,
Archie Gray,ENG,DF,18,28,19,1751.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MF
Cristian Romero,ARG,DF,26,18,18,1416.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,
Yves Bissouma,MLI,MF,27,28,16,1408.0,15.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,
Ben Davies,WAL,DF,31,17,14,1331.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Radu Drăgușin,ROU,DF,22,16,14,1252.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Micky van de Ven,NED,DF,23,13,12,1015.0,11.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,
Lucas Bergvall,SWE,MF,18,27,11,1212.0,13.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,
Mathys Tel,FRA,FW,19,13,11,911.0,10.1,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,
Wilson Odobert,FRA,FW,19,16,9,850.0,9.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,MF
Kevin Danso,AUT,DF,25,10,9,842.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fraser Forster,ENG,GK,36,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Antonín Kinský,CZE,GK,21,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Timo Werner,GER,FW,28,18,4,516.0,5.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,MF
Richarlison,BRA,FW,27,15,4,504.0,5.6,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,
Mikey Moore,ENG,FW,16,10,3,366.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,ESP,DF,27,4,1,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Brandon Austin,ENG,GK,25,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dane Scarlett,ENG,FW,20,3,0,34.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,MF
Alfie Dorrington,ENG,DF,19,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Will Lankshear,ENG,FW,19,3,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Oyindamola Ajayi,ENG,MF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dante Cassanova,JAM,DF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alfie Devine,ENG,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Malachi Hardy,ENG,DF,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maeson King,ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Yang Minhyeok,KOR,MF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Callum Olusesi,ENG,MF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alfie Whiteman,ENG,GK,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luca Williams Barnett,ENG,FW,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
