Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Rayan Aït-Nouri,ALG,DF,23.0,37,37,3109.0,34.5,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,
João Gomes,BRA,MF,23.0,36,35,2974.0,33.0,3.0,1.0,4.0,3.0,0.0,0.0,11.0,1.0,
Nélson Semedo,POR,DF,30.0,34,32,2886.0,32.1,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,
André,BRA,MF,23.0,33,31,2472.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
Toti Gomes,POR,DF,25.0,31,30,2614.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,
Jørgen Strand Larsen,NOR,FW,24.0,35,30,2587.0,28.7,14.0,4.0,18.0,14.0,0.0,0.0,4.0,0.0,
José Sá,POR,GK,31.0,29,29,2609.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Matheus Cunha,BRA,MF,25.0,33,29,2597.0,28.9,15.0,6.0,21.0,15.0,0.0,0.0,4.0,0.0,FW
Matt Doherty,IRL,DF,32.0,30,25,2109.0,23.4,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,
Jean-Ricner Bellegarde,HAI,MF,26.0,35,20,1677.0,18.6,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,FW
Santiago Bueno,URU,DF,25.0,29,18,1687.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Emmanuel Agbadou,CIV,DF,27.0,16,16,1410.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,
Mario Lemina,GAB,MF,30.0,17,15,1364.0,15.2,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,DF
Marshall Munetsi,ZIM,MF,28.0,14,12,1078.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,FW
Gonçalo Guedes,POR,MF,27.0,29,10,995.0,11.1,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,FW
Craig Dawson,ENG,DF,34.0,15,10,971.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Pablo Sarabia,ESP,MF,32.0,23,7,814.0,9.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,FW
Rodrigo Gomes,POR,DF,21.0,25,7,810.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,FW
Sam Johnstone,ENG,GK,31.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hwang Hee-chan,KOR,MF,28.0,21,5,661.0,7.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,FW
Yerson Mosquera,COL,DF,23.0,5,5,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Tommy Doyle,ENG,MF,22.0,24,3,488.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
Daniel Bentley,ENG,GK,31.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Carlos Forbs,POR,MF,20.0,10,1,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,FW
Pedro Lima,BRA,DF,18.0,3,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nasser Djiga,BFA,DF,21.0,5,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Daniel Podence,POR,MF,28.0,2,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Chiquinho,POR,MF,24.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mateus Mane,,MF,0.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom King,WAL,GK,29.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alfie Pond,ENG,DF,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Boubacar Traoré,MLI,MF,22.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tawanda Chirewa,ZIM,MF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luke Cundle,ENG,MF,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom Edozie,ENG,MF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bastien Meupiyou,FRA,DF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wesley Okoduwa,ENG,FW,16.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
